127.0.0.1 - - [02/Jul/2019:10:45:52 +0800] "GET / HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:46:05 +0800] "GET /CarWebPro/backstage/banner.jsp HTTP/1.1" 200 2785
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:46:05 +0800] "GET /favicon.ico HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:46:09 +0800] "GET /CarWebPro/backstage/log.jsp HTTP/1.1" 200 1826
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:46:09 +0800] "GET /CarWebPro/backstage/css/page.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:46:09 +0800] "GET /CarWebPro/backstage/img/logBanner.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:46:09 +0800] "GET /CarWebPro/backstage/img/logLOGO.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:46:09 +0800] "GET /CarWebPro/backstage/img/logPwd.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:46:09 +0800] "GET /CarWebPro/backstage/img/logName.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:46:15 +0800] "POST /CarWebPro/admUrl?op=login HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:46:16 +0800] "GET /CarWebPro/backstage/main.jsp HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:46:16 +0800] "GET /CarWebPro/backstage/inc/head.jsp HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:46:16 +0800] "GET /CarWebPro/backstage/inc/left.jsp HTTP/1.1" 200 4132
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:46:17 +0800] "GET /CarWebPro/BanUrl?op=queryBanner HTTP/1.1" 200 8032
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:46:18 +0800] "GET /CarWebPro/uploadFile/cxk10.gif HTTP/1.1" 200 2504699
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:46:18 +0800] "GET /CarWebPro/uploadFile/cxk1.gif HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:46:18 +0800] "GET /CarWebPro/uploadFile/cxk4.gif HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:46:18 +0800] "GET /CarWebPro/uploadFile/cxk8.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:46:18 +0800] "GET /CarWebPro/uploadFile/%E5%8D%8E%E6%99%A8%E5%AE%87%E5%B1%B1%E6%B5%B7%E6%88%91%E7%9C%8B%E7%9D%80%E5%A4%A9%E7%9C%9F%E7%9A%84%E6%88%91%E8%87%AA%E5%B7%B1.mp3 HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:46:22 +0800] "GET /CarWebPro/BanUrl?op=queryById&bannerId=19 HTTP/1.1" 200 1761
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:46:22 +0800] "GET /CarWebPro/css/css.css HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:46:22 +0800] "GET /CarWebPro/js/jquery.min.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:46:22 +0800] "GET /CarWebPro/img/coin02.png HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:47:33 +0800] "POST /CarWebPro/admUrl?op=login HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:47:33 +0800] "GET /CarWebPro/backstage/main.jsp HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:47:33 +0800] "GET /CarWebPro/backstage/inc/head.jsp HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:47:33 +0800] "GET /CarWebPro/backstage/inc/left.jsp HTTP/1.1" 200 4132
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:47:35 +0800] "GET /CarWebPro/BanUrl?op=queryBanner HTTP/1.1" 200 8032
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:47:35 +0800] "GET /CarWebPro/uploadFile/cxk1.gif HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:47:35 +0800] "GET /CarWebPro/uploadFile/cxk4.gif HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:47:35 +0800] "GET /CarWebPro/uploadFile/%E5%8D%8E%E6%99%A8%E5%AE%87%E5%B1%B1%E6%B5%B7%E6%88%91%E7%9C%8B%E7%9D%80%E5%A4%A9%E7%9C%9F%E7%9A%84%E6%88%91%E8%87%AA%E5%B7%B1.mp3 HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:47:37 +0800] "GET /CarWebPro/BanUrl?op=queryById&bannerId=19 HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:47:37 +0800] "GET /CarWebPro/img/coin02.png HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:47:37 +0800] "GET /CarWebPro/js/jquery.min.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:47:47 +0800] "POST /CarWebPro/BanUrl?op=updateBan HTTP/1.1" 200 8035
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:47:47 +0800] "GET /CarWebPro/uploadFile/cxk1.gif HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:47:47 +0800] "GET /CarWebPro/uploadFile/cxk9.gif HTTP/1.1" 200 1568510
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:47:47 +0800] "GET /CarWebPro/uploadFile/cxk4.gif HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:47:47 +0800] "GET /CarWebPro/uploadFile/%E5%8D%8E%E6%99%A8%E5%AE%87%E5%B1%B1%E6%B5%B7%E6%88%91%E7%9C%8B%E7%9D%80%E5%A4%A9%E7%9C%9F%E7%9A%84%E6%88%91%E8%87%AA%E5%B7%B1.mp3 HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:47:52 +0800] "GET /CarWebPro/backstage/index.jsp HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:47:52 +0800] "GET /CarWebPro/backstage/inc/head.jsp HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [02/Jul/2019:10:47:52 +0800] "GET /CarWebPro/backstage/main.jsp HTTP/1.1" 200 606
